id,lat,lon,cap
22,42.48108,-71.15484000000001,68.0
42,41.3047,-73.1294,95.0
45,41.0768,-73.4853,82.0
128,42.3671,-72.4646,13.0
135,41.3184,-72.9318,13.0
195,41.66584,-70.124415,25.900000000000002
228,41.57993,-70.97684,95.0
260,42.71202,-73.20372,15.0
353,42.0967,-71.5499,8.0
564,42.1756,-71.6032,9.0
594,41.2805,-72.8741,82.0
721,42.27645,-71.8347,90.0
726,41.6105,-72.6663,82.0
732,42.4567,-71.3747,14.8
766,42.2539,-71.4583,3.0
805,42.2798,-71.2501,6.0
815,41.7975,-71.0607,37.5
875,42.9627,-72.2955,5.0
889,42.8559,-70.9367,13.0
959,42.656,-71.3051,95.0
989,42.2491,-70.9978,64.0
992,42.5608,-70.8759,95.0
1062,42.8656,-71.3772,6.0
1090,42.907,-70.9876,12.0
1141,42.216115,-70.948985,30.0
1167,42.5796,-71.8031,95.0
1184,42.5734,-71.6483,87.0
1251,42.2653,-71.8794,95.0
1258,42.728,-71.181,95.0
1266,42.1177,-71.3269,15.0
1273,41.6618,-70.8164,82.0
1278,41.8882,-70.581,95.0
1295,42.1153,-71.6644,95.0
1299,41.7182,-71.14,95.0
1331,41.6942625,-71.15508750000001,74.0
1342,41.5164,-71.3761,60.0
1345,42.6689,-71.5934,5.3
1369,42.4986,-71.5753,18.5
1395,42.6124,-71.5584,10.0
1403,41.98343,-71.33283,60.0
1410,42.378616666666666,-71.12257333333334,13.0
1518,41.900961,-71.094396,81.6
1578,42.5581,-71.1723,7.5
1597,42.3923,-72.8256,60.0
1636,42.480095,-71.44057000000001,45.400000000000006
1675,42.221235,-71.5265805,27.5
1697,41.6703,-70.4163,6.5
1707,41.7473,-71.2122,77.8
1748,42.3509,-71.5434,32.5
1752,42.1511,-71.5274,82.0
1757,42.1968,-71.7644,82.0
1759,42.5519,-71.2518,82.0
1776,42.482,-72.4213,7.5
1782,42.3106,-71.2747,8.3
1804,41.8378,-71.3224,19.7
1830,42.3918,-71.5609,6.5
1846,41.99038,-70.97504,13.0
1884,41.756,-71.1492,82.0
1918,42.8051,-71.3067,6.5
1928,42.3683,-72.7688,82.0
1949,42.6286,-70.7828,18.0
1993,42.53978,-71.65859,6.5
2005,42.4202,-71.1565,9.5
2021,42.2541,-71.7746,85.0
2029,42.1253,-71.1074,82.0
2037,42.46037,-71.34895,6.5
2043,41.9296,-71.3009,100.0
2101,42.2751,-72.411,15.899999999999999
2111,41.4401,-71.9956,4.0
2153,42.0528,-71.7509,7.5
2191,42.0212,-71.2178,13.0
2205,42.2557,-72.52,10.5
2230,42.6745,-71.8174,7.5
2253,42.2004,-71.6868,45.0
2255,43.1174,-70.9197,10.0
2273,42.4365,-71.6076,20.0
2292,41.9104,-70.642,2.5
2326,42.4508,-71.8762,9.0
2335,42.57926,-71.43784,5.0
2348,42.3341,-71.1833,10.5
2364,42.1268,-71.5376,7.5
2374,42.5274,-71.7563,6.5
2425,42.2875,-71.3574,20.1
2477,42.9493,-71.8728,41.2
2498,41.6338,-70.9958,25.0
2508,41.5662,-72.3441,20.6
2557,42.31954,-71.64118,95.0
2851,41.8964,-71.5207,42.0
2992,42.3377,-71.731,5.2
3011,42.3486,-71.3588,4.0
3022,42.60704,-70.87866,13.2
3158,42.3148,-71.0672,14.0
3218,41.465,-72.6875,28.0
3223,42.3164,-71.1612,3.8
3505,41.6913,-70.9355,12.8
3739,42.4581,-71.0632,15.0
3885,42.3647,-71.1042,79.0
3915,41.94454,-71.28561,40.0
4045,43.2269,-70.8332,13.2
4150,42.6809,-70.8494,22.799999999999997
4159,41.4767,-73.2241,15.2
4218,41.6211,-71.089,22.799999999999997
4278,42.813,-70.8847,46.2
4385,41.7326,-72.7337,92.0
4400,42.8972,-72.0505,15.2
4410,42.3223,-72.6313,11.399999999999999
4582,41.7591,-70.8523,56.0
4661,42.376186,-71.239974,75.0
4697,41.660331,-70.934347,72.0
4747,42.596583,-71.718915,59.0
4772,42.427572,-71.046163,72.0
4792,41.638715,-72.905081,36.0
4793,42.191627,-71.309558,56.0
4808,42.250411,-71.368049,60.800000000000004
4879,41.794436,-71.2338,10.4
4889,42.615152,-72.289902,100.0
4933,41.823882,-71.508824,72.0
4960,41.828151,-71.363357,19.799999999999997
4995,41.716459,-71.210003,7.6
5085,41.818177,-71.222586,7.6
5132,42.658079,-70.990397,38.0
5178,42.148167,-71.1288,92.0
5287,41.867481,-71.468009,6.6
5416,42.078078,-71.630794,50.0
5474,41.718415,-72.280462,10.0
5481,41.706897999999995,-72.310843,15.0
5627,42.003258,-71.522377,60.0
